Updated,"Database last updated on April 1, 2018"
ISDR,1.21M
CIVB,9.00M
MARPS,1.61M
GCBC,3.28M
UBCP,4.73M
AGM,8.85M
SHSP,4.61M
SIF,2.46M
ACER,2.00M
LTRX,8.54M
NRCIB,1.46M
POPE,2.56M
BYSI,3.47M
VRTA,1.01M
LTRE,3.88M
TAX,8.61M
ZSAN,1.70M
ARTNA,8.00M
SPA,9.54M
VRTS,6.86M
SCX,5.29M
MSON,6.33M
TAYD,3.01M
FLXS,7.34M
SSKN,4.07M
CLWT,913K
PBHC,3.05M
HMG,275K
SBFG,5.59M
PRPO,8.78M
EBMT,4.32M
BGSF,7.19M
VLRX,1.76M
RICK,8.98M
AMCF,4.92M
WILC,4.10M
USEG,2.98M
BOXL,1.49M
JBSS,6.96M
EVK,4.22M
LPTX,4.34M
CRTN,6.11M
OVLY,5.99M
EMCF,1.88M
IZEA,4.56M
SLCT,8.82M
CMT,7.27M
GAIA,9.23M
CODX,6.74M
SGRP,8.32M
FEIM,6.87M
ANFI,9.66M
NVUS,3.97M
TKAT,7.27M
IGLD,7.54M
LOAN,5.49M
PFIN,2.10M
NSEC,1.18M
MSTR,9.41M
ELSE,1.64M
USLM,2.02M
TWIN,8.42M
VBFC,631K
PFIS,6.78M
PEBK,4.60M
BCRH,6.25M
TRCB,7.16M
NAKD,9.18M
COOL,4.40M
CNBKA,2.83M
INS,5.14M
TENX,1.19M
ALOT,5.68M
MXC,1.05M
WVVI,3.69M
HWBK,5.21M
CIZN,3.83M
ABAC,4.06M
WEBK,1.90M
GWGH,1.43M
FSBW,2.94M
FC,9.47M
POLA,2.82M
HURC,6.28M
CYAN,3.81M
EDUC,3.11M
WHF,7.09M
WHG,8.03M
UBOH,2.55M
VSEC,8.54M
ARTW,1.88M
YECO,1.09M
ASPU,8.69M
NATH,2.89M
POWL,8.64M
ASPS,8.69M
ELLO,3.30M
ATEC,4.14M
CVR,726K
ESBK,1.71M
UAHC,6.08M
MVO,8.63M
MARA,8.02M
EVBN,4.60M
PLPC,2.44M
ORM,9.58M
ALX,2.10M
BKYI,5.08M
ALT,8.00M
MGYR,2.40M
USAK,6.21M
OXBR,3.99M
FFNW,8.04M
QRHC,5.63M
MJCO,5.44M
MYOS,3.70M
CAW,4.76M
FMBH,9.24M
MOTS,3.34M
CSSE,3.47M
USAP,6.73M
RKDA,542K
BELFA,1.68M
RCG,4.10M
PLBC,3.98M
SOFO,3.37M
BELFB,9.27M
CELP,4.39M
PTSI,2.22M
BRBI,3.01M
HIHO,2.55M
IIN,5.88M
CBLI,4.79M
FORK,4.40M
NSYS,1.28M
VLGEA,7.89M
RXII,2.02M
FTNW,1.16M
UNTY,7.58M
ORPN,2.37M
FORD,5.68M
WLFC,3.40M
BAND,3.90M
BVSN,3.25M
GRIF,2.68M
STND,2.47M
UG,2.83M
DTRM,9.49M
SAMG,6.79M
SMBK,9.90M
TCCO,1.46M
NAOV,2.65M
LSBK,2.22M
RGCO,6.26M
GENC,8.72M
IFMK,1.99M
LLIT,5.09M
PBIP,7.53M
LINU,7.62M
MICT,3.87M
FSFG,1.62M
MICR,1.74M
RBCAA,9.33M
GPIC,2.59M
WHLM,3.46M
GHC,4.44M
MSBF,4.79M
GHM,9.49M
DKL,8.44M
NWFL,5.41M
GLBZ,2.17M
IPDN,141K
SAM,8.48M
SAL,2.26M
ASTC,3.47M
RELV,1.17M
AOI,8.20M
SMIT,2.88M
ACMR,9.61M
JOB,9.08M
VALU,1.06M
SAR,3.28M
WTM,3.51M
DZSI,5.76M
UNAM,2.44M
OBLN,7.95M
TPL,7.76M
MFSF,6.04M
RMCF,5.24M
MAYS,403K
DGSE,7.61M
CHFS,1.41M
WVFC,1.49M
BASI,6.93M
ATV,2.68M
BWINA,1.13M
ICCC,3.89M
AMRK,3.98M
FRPH,6.69M
ROSG,5.92M
QUMU,8.89M
ORBT,4.30M
AMRB,5.34M
CNFR,3.86M
MMAC,4.59M
FUV,8.32M
OCC,5.01M
WSCI,2.34M
STAF,2.15M
OCX,8.36M
ISNS,4.16M
PKBK,5.96M
CZWI,5.20M
OPGN,4.55M
BMRC,6.17M
SGMA,3.73M
CHNR,9.45M
CEI,2.57M
NTWK,9.85M
OBAS,1.42M
GFED,3.01M
TCFC,4.75M
CCUR,6.89M
SEII,3.43M
HSKA,6.55M
AVGR,856K
CNET,7.60M
DLA,5.93M
EVOL,8.61M
AFCB,1.75M
MRAM,9.12M
CIWV,1.83M
ATXI,6.45M
CWBC,5.52M
CSS,8.84M
SIMC,6.46M
SSY,4.88M
CLDC,7.31M
PROV,5.70M
CBAN,6.18M
BBGI,5.98M
SKBI,7.47M
LARK,3.01M
OGEN,1.39M
NRT,9.15M
CREG,4.06M
MFNC,4.68M
OTEL,2.47M
DYNT,4.80M
MCBK,2.60M
MLAB,3.30M
EVI,3.20M
EMCI,8.95M
HFBC,5.79M
PLXP,7.50M
RFIL,7.52M
PHII,611K
ELON,3.88M
AAME,4.15M
PMD,5.02M
TSBK,6.33M
AAMC,728K
ALQA,3.70M
LBIX,2.10M
EFOI,8.80M
CSBR,4.28M
SEB,261K
BKSC,3.35M
NHLD,5.11M
AVNW,4.82M
IRMD,4.48M
FRD,6.84M
CARV,1.37M
FCRE,9.34M
CART,3.74M
UNB,3.47M
FSTR,9.56M
TLF,8.87M
DFBG,8.71M
FCNCA,6.39M
AETI,5.37M
ODC,4.96M
IKNX,1.13M
RMGN,5.46M
ITIC,1.38M
ASFI,1.92M
MNGA,1.67M
LBCC,4.96M
NPK,4.90M
ALCO,7.31M
DL,2.76M
OLBK,9.82M
AUBN,2.35M
MDGL,6.65M
TNTR,8.77M
SINO,7.04M
CADC,1.46M
PPSI,3.33M
ABIL,9.39M
PATI,2.16M
SAEX,8.49M
NKSH,6.69M
JOUT,8.13M
BOTJ,3.93M
CALI,1.44M
TEAR,7.35M
PNBC,3.28M
INTG,865K
NTN,1.65M
ENFC,6.64M
XOMA,7.53M
FSAM,7.49M
LENS,4.40M
INTT,8.18M
MLP,6.61M
UAVS,6.54M
CYBE,6.71M
VERI,5.42M
HFBL,1.32M
CCCL,2.61M
PRCP,9.13M
UHAL,7.93M
KEQU,2.34M
AIRG,7.55M
NWPX,9.36M
MCB,5.65M
CRAI,7.75M
GIGM,6.76M
NICK,7.12M
AIRT,1.23M
PKOH,8.61M
LCNB,9.49M
NRP,7.08M
GIGA,7.65M
AMNB,8.07M
TESS,6.27M
AXR,3.05M
BSTC,5.25M
WSTG,3.36M
HIFS,1.30M
BGI,4.16M
FNLC,9.48M
CVCO,8.48M
ULBI,8.80M
CKX,1.48M
UTMD,3.40M
AWX,963K
PWOD,4.52M
CFNB,1.69M
DVCR,2.76M
LIVE,1.78M
OHGI,7.94M
SCWX,7.54M
CNAF,2.85M
FCAP,3.17M
EQS,4.76M
CETX,5.84M
XBIO,2.27M
NAII,5.37M
